Time,Conv Layers,Dense_layers,Dropout Rate,L2 Rate,Accuracy
2025-03-26 19:20:16.861550,3,128,0.2,0.0,0.9115492939949036
2025-03-26 19:21:33.444035,3,128,0.2,0.005,0.9243863105773926
2025-03-26 19:22:45.820853,3,128,0.2,0.01,0.9116297781467437
2025-03-26 19:24:04.117921,3,128,0.2,0.015,0.9215694069862366
2025-03-26 19:25:30.867757,3,128,0.2,0.02,0.9144265472888946
2025-03-26 19:27:27.607597,3,128,0.2,0.025,0.9172836899757385
2025-03-26 19:29:04.264507,3,128,0.2,0.03,0.9172635793685913
2025-03-26 19:30:39.660458,3,128,0.2,0.035,0.891549289226532
2025-03-26 19:32:10.477180,3,128,0.2,0.04,0.9172837018966675
2025-03-26 19:34:02.120797,3,128,0.2,0.045,0.9287323832511902
2025-03-26 19:35:49.264860,3,128,0.2,0.05,0.9101207196712494
2025-03-26 19:37:23.314555,3,128,0.2,0.055,0.8801408350467682
2025-03-26 19:39:09.905015,3,128,0.2,0.06,0.924426543712616
2025-03-26 19:41:06.262806,3,128,0.2,0.065,0.9201207160949707
2025-03-26 19:42:43.510702,3,128,0.2,0.07,0.8886921405792236
2025-03-26 19:44:19.098369,3,128,0.2,0.075,0.8320321857929229
2025-03-26 19:45:50.057787,3,128,0.2,0.08,0.7887323886156082
2025-03-26 19:47:15.790687,3,128,0.2,0.085,0.8263178944587708
2025-03-26 19:49:05.583599,3,128,0.2,0.09,0.8958551228046417
2025-03-26 19:50:47.898899,3,128,0.2,0.095,0.8120321780443192
2025-03-26 19:52:22.388751,3,128,0.2,0.1,0.7834607630968093
