Time,Conv Layers,Dense_layers,Dropout Rate,L2 Rate,Accuracy
2025-04-13 17:01:10.673900,3,128,0.0,0.06,0.8501207232475281
2025-04-13 17:02:19.626239,3,128,0.01,0.06,0.7877464711666107
2025-04-13 17:03:22.178818,3,128,0.02,0.06,0.8086921453475953
2025-04-13 17:04:33.856507,3,128,0.03,0.06,0.7801207184791565
2025-04-13 17:05:50.919048,3,128,0.04,0.06,0.858732384443283
2025-04-13 17:06:57.031735,3,128,0.05,0.06,0.7548893392086029
2025-04-13 17:08:15.191499,3,128,0.06,0.06,0.8486720204353333
2025-04-13 17:09:35.208338,3,128,0.07,0.06,0.7972635746002197
2025-04-13 17:10:50.300325,3,128,0.08,0.06,0.8230583429336548
2025-04-13 17:12:07.022502,3,128,0.09,0.06,0.8272836923599243
2025-04-13 17:13:35.068569,3,128,0.1,0.06,0.8501609593629837
2025-04-13 17:15:16.716776,3,128,0.11,0.06,0.8987122654914856
2025-04-13 17:16:43.244987,3,128,0.12,0.06,0.7787323862314224
2025-04-13 17:18:12.083572,3,128,0.13,0.06,0.8372434496879577
2025-04-13 17:19:25.956302,3,128,0.14,0.06,0.8272635877132416
2025-04-13 17:20:51.227751,3,128,0.15,0.06,0.8387122631072998
2025-04-13 17:22:19.289250,3,128,0.16,0.06,0.8501408398151398
2025-04-13 17:23:48.533794,3,128,0.17,0.06,0.8873038113117218
2025-04-13 17:25:18.834000,3,128,0.18,0.06,0.8801408410072327
2025-04-13 17:26:49.340489,3,128,0.19,0.06,0.746317908167839
2025-04-13 17:28:12.689431,3,128,0.2,0.06,0.79012071788311
2025-04-13 17:29:49.566405,3,128,0.21,0.06,0.9244064211845398
2025-04-13 17:31:14.886680,3,128,0.22,0.06,0.7772836983203888
2025-04-13 17:32:27.739989,3,128,0.23,0.06,0.8106036186218262
2025-04-13 17:33:53.670911,3,128,0.24,0.06,0.8163178980350494
2025-04-13 17:35:23.625584,3,128,0.25,0.06,0.8248893320560455
2025-04-13 17:37:13.815040,3,128,0.26,0.06,0.8886921465396881
2025-04-13 17:38:58.191399,3,128,0.27,0.06,0.8958752453327179
2025-04-13 17:40:23.432872,3,128,0.28,0.06,0.8548893213272095
2025-04-13 17:42:00.721475,3,128,0.29,0.06,0.8329778611660004
2025-04-13 17:43:45.098925,3,128,0.3,0.06,0.8330181032419205
2025-04-13 17:45:09.314966,3,128,0.31,0.06,0.8358551263809204
2025-04-13 17:46:45.122807,3,128,0.32,0.06,0.8586921364068985
2025-04-13 17:48:11.739854,3,128,0.33,0.06,0.8087122708559036
2025-04-13 17:49:42.399221,3,128,0.34,0.06,0.8888329923152923
2025-04-13 17:51:01.785449,3,128,0.35,0.06,0.7673239439725876
2025-04-13 17:52:47.752637,3,128,0.36,0.06,0.7877464681863785
2025-04-13 17:54:46.639027,3,128,0.37,0.06,0.890140837430954
2025-04-13 17:56:15.855631,3,128,0.38,0.06,0.7820321798324585
2025-04-13 17:57:40.766695,3,128,0.39,0.06,0.7873038142919541
2025-04-13 17:59:03.170250,3,128,0.4,0.06,0.770120719075203
2025-04-13 18:00:58.937103,3,128,0.41,0.06,0.8915090560913086
2025-04-13 18:02:32.461352,3,128,0.42,0.06,0.9144064307212829
2025-04-13 18:04:08.953702,3,128,0.43,0.06,0.7815694123506546
2025-04-13 18:05:55.596375,3,128,0.44,0.06,0.915875244140625
2025-04-13 18:07:35.830910,3,128,0.45,0.06,0.8873038113117218
2025-04-13 18:09:08.738596,3,128,0.46,0.06,0.7986921489238739
2025-04-13 18:10:42.218007,3,128,0.47,0.06,0.8743460714817047
2025-04-13 18:12:12.522302,3,128,0.48,0.06,0.7858551323413849
2025-04-13 18:13:53.654429,3,128,0.49,0.06,0.852977854013443
2025-04-13 18:15:24.101209,3,128,0.5,0.06,0.8015895277261734
