Time,Conv Layers,Dense_layers,Dropout Rate,L2 Rate,Accuracy
2025-03-25 17:00:44.964186,1,128,0.2,0.06,0.6106036216020584
2025-03-25 17:01:30.629724,2,128,0.2,0.06,0.6106036216020584
2025-03-25 17:03:02.908125,3,128,0.2,0.06,0.8544064283370971
2025-03-25 17:04:36.575715,4,128,0.2,0.06,0.9243460714817047
2025-03-25 17:07:28.014630,5,128,0.2,0.06,0.9514687955379486
2025-03-25 17:12:39.369339,6,128,0.2,0.06,0.9386720180511474
2025-03-25 17:14:02.583894,3,32,0.2,0.06,0.9272635698318481
2025-03-25 17:15:31.340099,3,64,0.2,0.06,0.911589527130127
2025-03-25 17:17:06.617295,3,128,0.2,0.06,0.8830181002616883
2025-03-25 17:18:34.869582,3,256,0.2,0.06,0.8329979836940765
2025-03-25 17:20:21.478813,3,512,0.2,0.06,0.6687525182962417
2025-03-25 17:22:16.612183,3,1024,0.2,0.06,0.6106036216020584
2025-03-25 17:23:45.257691,3,128,0.0,0.06,0.8915895342826843
2025-03-25 17:25:34.835228,3,128,0.001,0.06,0.9215694069862366
2025-03-25 17:27:15.289323,3,128,0.002,0.06,0.9187122642993927
2025-03-25 17:29:05.567310,3,128,0.003,0.06,0.8701609551906586
2025-03-25 17:30:49.462427,3,128,0.004,0.06,0.898692148923874
2025-03-25 17:32:48.890852,3,128,0.005,0.06,0.8591750383377075
2025-03-25 17:34:17.627082,3,128,0.006,0.06,0.8229979842901229
2025-03-25 17:35:53.756619,3,128,0.007,0.06,0.8059356123208999
2025-03-25 17:37:33.152640,3,128,0.008,0.06,0.8801810801029205
2025-03-25 17:39:19.647367,3,128,0.009,0.06,0.8573239326477051
2025-03-25 17:41:16.937295,3,128,0.01,0.06,0.9244265496730805
2025-03-25 17:43:14.691948,3,128,0.011,0.06,0.8763178944587707
2025-03-25 17:45:35.533567,3,128,0.012,0.06,0.9244466662406922
2025-03-25 17:47:26.880735,3,128,0.013,0.06,0.8930180966854095
2025-03-25 17:49:07.936388,3,128,0.014,0.06,0.8601609647274018
2025-03-25 17:51:00.041173,3,128,0.015,0.06,0.8601810872554779
2025-03-25 17:53:12.629127,3,128,0.016,0.06,0.9030180990695953
2025-03-25 17:55:31.927198,3,128,0.017,0.06,0.8872836947441101
2025-03-25 17:57:20.297682,3,128,0.018,0.06,0.8587122619152069
2025-03-25 17:58:55.641913,3,128,0.019,0.06,0.8302213191986084
2025-03-25 18:01:12.285389,3,128,0.02,0.06,0.8877464711666108
2025-03-25 18:02:53.779862,3,128,0.021,0.06,0.8058752477169037
2025-03-25 18:04:44.238210,3,128,0.022,0.06,0.8315895378589631
2025-03-25 18:06:35.628848,3,128,0.023,0.06,0.8215694159269333
2025-03-25 18:08:34.535044,3,128,0.024,0.06,0.8715492904186248
2025-03-25 18:10:49.669963,3,128,0.025,0.06,0.927303808927536
2025-03-25 18:12:35.844571,3,128,0.026,0.06,0.82488933801651
2025-03-25 18:14:31.551604,3,128,0.027,0.06,0.8744064331054687
2025-03-25 18:16:31.236751,3,128,0.028,0.06,0.8944064319133759
2025-03-25 18:18:17.491863,3,128,0.029,0.06,0.8144466727972031
2025-03-25 18:20:10.287772,3,128,0.03,0.06,0.8648893237113953
