Time,Conv Layers,Dense_layers,Dropout Rate,L2 Rate,Accuracy
2025-03-25 21:55:28.938486,3,128,0.0,0.06,0.8873038172721863
2025-03-25 21:57:01.885199,3,128,0.01,0.06,0.895895367860794
2025-03-25 21:58:43.747491,3,128,0.02,0.06,0.9244668006896972
2025-03-25 22:00:15.012238,3,128,0.03,0.06,0.9015492737293244
2025-03-25 22:01:56.234736,3,128,0.04,0.06,0.8130181044340133
2025-03-25 22:03:27.076844,3,128,0.05,0.06,0.8701408326625824
2025-03-25 22:05:02.158113,3,128,0.06,0.06,0.9244466662406922
2025-03-25 22:06:46.929726,3,128,0.07,0.06,0.9215694010257721
2025-03-25 22:08:47.109085,3,128,0.08,0.06,0.8915694117546081
2025-03-25 22:10:14.288640,3,128,0.09,0.06,0.8672836899757386
2025-03-25 22:11:45.702394,3,128,0.1,0.06,0.9215492904186249
2025-03-25 22:13:25.023719,3,128,0.11,0.06,0.8687122702598572
2025-03-25 22:14:58.180682,3,128,0.12,0.06,0.8616096556186676
2025-03-25 22:16:41.544799,3,128,0.13,0.06,0.8816297769546508
2025-03-25 22:18:28.932908,3,128,0.14,0.06,0.867283695936203
2025-03-25 22:20:02.773696,3,128,0.15,0.06,0.9101609587669373
2025-03-25 22:21:44.924666,3,128,0.16,0.06,0.9272635698318481
2025-03-25 22:23:25.633011,3,128,0.17,0.06,0.9173038184642792
2025-03-25 22:25:10.301736,3,128,0.18,0.06,0.9130382239818573
2025-03-25 22:26:49.678509,3,128,0.19,0.06,0.9244466722011566
2025-03-25 22:28:31.633981,3,128,0.2,0.06,0.9244667947292328
2025-03-25 22:30:14.573905,3,128,0.21,0.06,0.9215694010257721
2025-03-25 22:31:47.864939,3,128,0.22,0.06,0.8644466698169708
2025-03-25 22:33:25.790803,3,128,0.23,0.06,0.8848893225193024
2025-03-25 22:35:13.558441,3,128,0.24,0.06,0.9058350086212158
2025-03-25 22:36:56.279077,3,128,0.25,0.06,0.8906036138534545
2025-03-25 22:38:39.190225,3,128,0.26,0.06,0.9101609468460083
2025-03-25 22:40:18.979558,3,128,0.27,0.06,0.9001207232475281
2025-03-25 22:42:09.744861,3,128,0.28,0.06,0.8920321822166443
2025-03-25 22:43:47.340177,3,128,0.29,0.06,0.922977864742279
2025-03-25 22:45:27.588663,3,128,0.3,0.06,0.9243863165378571
2025-03-25 22:47:08.500935,3,128,0.31,0.06,0.8915090501308441
2025-03-25 22:48:51.183744,3,128,0.32,0.06,0.8801207125186921
2025-03-25 22:50:52.873798,3,128,0.33,0.06,0.9187122702598571
2025-03-25 22:52:53.608065,3,128,0.34,0.06,0.915875244140625
2025-03-25 22:54:37.374543,3,128,0.35,0.06,0.8658349990844727
2025-03-25 22:56:33.521568,3,128,0.36,0.06,0.891549289226532
2025-03-25 22:58:23.668015,3,128,0.37,0.06,0.9158752381801605
2025-03-25 23:00:03.939161,3,128,0.38,0.06,0.8987726271152496
2025-03-25 23:01:57.204894,3,128,0.39,0.06,0.9244466662406922
2025-03-25 23:03:56.867270,3,128,0.4,0.06,0.9087323784828186
2025-03-25 23:05:36.590509,3,128,0.41,0.06,0.9272836923599244
2025-03-25 23:07:35.084868,3,128,0.42,0.06,0.8944466710090637
2025-03-25 23:09:15.340241,3,128,0.43,0.06,0.8929979801177979
2025-03-25 23:11:17.615657,3,128,0.44,0.06,0.9244064271450043
2025-03-25 23:13:37.770617,3,128,0.45,0.06,0.9258551299571991
2025-03-25 23:15:33.291927,3,128,0.46,0.06,0.9201408326625824
2025-03-25 23:17:41.526062,3,128,0.47,0.06,0.9172635674476624
2025-03-25 23:19:44.231190,3,128,0.48,0.06,0.9258350014686585
2025-03-25 23:21:34.059421,3,128,0.49,0.06,0.8344466775655747
2025-03-25 23:23:28.124621,3,128,0.5,0.06,0.8715291678905487
