Time,Conv Layers,Dense_layers,Dropout Rate,L2 Rate,Accuracy
2025-03-25 23:38:47.693587,3,128,0.2,0.0,0.9130382239818573
2025-03-25 23:40:04.856660,3,128,0.2,0.005,0.9258350014686585
2025-03-25 23:41:28.362053,3,128,0.2,0.01,0.9244265556335449
2025-03-25 23:42:41.623316,3,128,0.2,0.015,0.9187323808670044
2025-03-25 23:44:18.185105,3,128,0.2,0.02,0.9187122642993927
2025-03-25 23:45:39.492266,3,128,0.2,0.025,0.9159154891967773
2025-03-25 23:47:10.368575,3,128,0.2,0.03,0.9258551239967346
2025-03-25 23:48:43.300261,3,128,0.2,0.035,0.8759154915809632
2025-03-25 23:50:27.128703,3,128,0.2,0.04,0.9258752405643463
2025-03-25 23:52:07.390205,3,128,0.2,0.045,0.9173038125038147
2025-03-25 23:53:39.348096,3,128,0.2,0.05,0.9258551299571991
2025-03-25 23:55:10.056987,3,128,0.2,0.055,0.8858551204204559
2025-03-25 23:56:42.136053,3,128,0.2,0.06,0.9258551239967346
2025-03-25 23:58:25.048913,3,128,0.2,0.065,0.9187122762203217
2025-03-26 00:00:08.986106,3,128,0.2,0.07,0.8972836971282959
2025-03-26 00:01:43.970720,3,128,0.2,0.075,0.9215694069862366
2025-03-26 00:03:24.794109,3,128,0.2,0.08,0.8687122762203217
2025-03-26 00:04:58.019613,3,128,0.2,0.085,0.8344466745853424
2025-03-26 00:06:55.816210,3,128,0.2,0.09,0.9272635698318481
2025-03-26 00:08:21.538706,3,128,0.2,0.095,0.8244668036699295
2025-03-26 00:10:12.478139,3,128,0.2,0.1,0.8344466686248779
